"","State","smoke.everyday","smoke.some.days","former.smoker","never.smoked"
"1","Alabama",0.156,0.063,0.239,0.542
"2","Alaska",0.135,0.068,0.261,0.536
"3","Arizona",0.107,0.044,0.279,0.571
"4","Arkansas",0.173,0.056,0.241,0.53
"5","California",0.075,0.046,0.231,0.648
"6","Colorado",0.114,0.046,0.247,0.593
"7","Connecticut",0.092,0.04,0.292,0.576
"8","Delaware",0.128,0.045,0.268,0.56
"9","Florida",0.12,0.052,0.298,0.53
"10","Georgia",0.128,0.048,0.231,0.593
"11","Hawaii",0.107,0.038,0.253,0.602
"12","Idaho",0.113,0.044,0.229,0.615
"13","Illinois",0.115,0.054,0.236,0.595
"14","Indiana",0.163,0.05,0.251,0.537
"15","Iowa",0.121,0.041,0.234,0.604
"16","Kansas",0.119,0.051,0.242,0.588
"17","Kentucky",0.193,0.055,0.26,0.492
"18","Louisiana",0.159,0.062,0.22,0.56
"19","Maine",0.139,0.043,0.302,0.516
"20","Maryland",0.105,0.047,0.239,0.609
"21","Massachusetts",0.102,0.039,0.293,0.566
"22","Michigan",0.135,0.054,0.253,0.557
"23","Minnesota",0.113,0.036,0.259,0.592
"24","Mississippi",0.171,0.058,0.22,0.55
"25","Missouri",0.166,0.044,0.261,0.528
"26","Montana",0.135,0.053,0.272,0.54
"27","Nebraska",0.125,0.047,0.252,0.576
"28","Nevada",0.165,0.049,0.258,0.528
"29","New Hampshire",0.124,0.045,0.307,0.524
"30","New Jersey",0.102,0.042,0.261,0.594
"31","New Mexico",0.114,0.071,0.247,0.569
"32","New York",0.105,0.05,0.268,0.578
"33","North Carolina",0.143,0.054,0.245,0.558
"34","North Dakota",0.122,0.051,0.241,0.586
"35","Ohio",0.171,0.054,0.246,0.529
"36","Oklahoma",0.175,0.062,0.243,0.52
"37","Oregon",0.11,0.041,0.282,0.567
"38","Pennsylvania",0.134,0.05,0.262,0.554
"39","Rhode Island",0.109,0.048,0.284,0.559
"40","South Carolina",0.14,0.07,0.241,0.549
"41","South Dakota",0.113,0.041,0.27,0.576
"42","Tennessee",0.157,0.044,0.229,0.57
"43","Texas",0.105,0.053,0.213,0.629
"44","Utah",0.064,0.027,0.143,0.766
"45","Vermont",0.111,0.042,0.307,0.54
"46","Virginia",0.145,0.04,0.244,0.57
"47","Washington",0.11,0.042,0.255,0.593
"48","West Virginia",0.232,0.036,0.244,0.488
"49","Wisconsin",0.136,0.055,0.263,0.546
"50","Wyoming",0.149,0.046,0.246,0.559
